time, magnitude, latitude, longitude, depth
1990-09-29T16:11:30.470Z,5.1,51.426,-178.266,57.0
1996-06-11T16:38:36.710Z,5.2,51.486,-178.321,33.0
1990-09-29T16:11:30.470Z,5.1,51.426,-178.266,57.0
2000-06-16T23:33:49.980Z,5.0,51.433,-178.346,33.0
1991-02-23T09:31:40.380Z,5.4,45.222,150.449,38.5
2015-09-09T05:43:56.830Z,5.2,45.319,150.411,64.3
1991-09-02T03:03:42.950Z,5.2,42.292,143.019,65.6
1999-02-09T00:19:37.140Z,5.1,42.328,142.983,59.1
1991-09-02T03:03:42.950Z,5.2,42.292,143.019,65.6
2004-09-10T04:22:10.110Z,5.0,42.392,142.954,51.8
1991-09-19T01:41:48.040Z,5.3,48.818,154.87,35.2
2011-09-17T08:59:30.470Z,5.2,48.909,154.739,61.9
1991-10-24T23:12:20.650Z,5.1,-2.695,101.106,51.8
2008-03-16T23:05:25.580Z,5.2,-2.897,101.095,35.0
1991-10-24T23:12:20.650Z,5.1,-2.695,101.106,51.8
2010-01-31T07:02:46.270Z,5.0,-2.878,100.906,50.7
1991-10-30T04:02:42.550Z,5.5,-5.657,153.899,69.1
2013-12-29T12:49:16.720Z,5.5,-5.605,153.986,24.0
1991-11-17T07:46:07.690Z,5.2,40.038,142.693,41.7
1995-01-01T12:30:05.300Z,5.2,40.049,142.686,42.0
1991-11-17T07:46:07.690Z,5.2,40.038,142.693,41.7
1996-06-25T21:37:02.680Z,5.0,39.971,142.839,44.9
1991-11-17T07:46:07.690Z,5.2,40.038,142.693,41.7
2011-05-02T21:25:49.540Z,5.1,40.102,142.564,32.3
1991-11-17T07:46:07.690Z,5.2,40.038,142.693,41.7
2014-01-16T01:12:17.710Z,5.1,40.115,142.818,51.8
1991-12-17T01:50:19.080Z,5.3,-3.611,102.034,72.0
2003-07-02T00:47:11.860Z,5.1,-3.643,102.06,75.2
1991-12-17T01:50:19.080Z,5.3,-3.611,102.034,72.0
2010-09-03T17:06:50.860Z,5.6,-3.65,101.961,73.2
1992-05-05T08:55:51.170Z,5.2,43.812,148.007,40.8
1997-03-02T01:04:15.950Z,5.2,44.001,147.85,33.0
1992-06-22T14:57:16.840Z,5.1,30.557,141.654,41.3
2001-10-26T08:44:28.310Z,5.0,30.554,141.755,33.0
1992-06-22T14:57:16.840Z,5.1,30.557,141.654,41.3
2014-06-13T05:50:49.790Z,5.0,30.699,141.835,47.2
1992-07-02T04:19:47.330Z,5.2,30.985,141.344,41.2
2002-07-16T03:39:49.420Z,5.0,30.924,141.302,33.0
1992-07-18T23:29:52.690Z,5.2,44.96,152.057,33.0
2012-07-14T17:36:22.580Z,5.0,45.378,151.878,6.1
1992-10-23T16:06:17.520Z,5.1,-5.903,104.934,87.1
2001-02-16T23:38:03.710Z,5.0,-6.08,104.68,33.0
1992-10-23T16:06:17.520Z,5.1,-5.903,104.934,87.1
2008-10-18T18:41:32.150Z,5.1,-6.058,104.751,77.5
1992-11-17T04:24:16.460Z,5.3,-30.588,-71.172,54.1
